"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 17, 2021","213.20","187.20","213.70","178.20","80.94K","13.89%"
"Dec 16, 2021","187.20","191.60","198.10","186.50","44.68K","-2.30%"
"Dec 15, 2021","191.60","186.40","197.70","175.00","50.34K","2.79%"
"Dec 14, 2021","186.40","180.80","190.50","177.30","45.44K","3.04%"
"Dec 13, 2021","180.90","198.40","200.60","175.40","70.98K","-8.91%"
"Dec 12, 2021","198.60","196.50","201.70","190.00","32.65K","1.33%"
"Dec 11, 2021","196.00","182.70","196.90","180.60","33.28K","7.34%"
"Dec 10, 2021","182.60","192.90","202.70","182.40","67.25K","-5.19%"
"Dec 09, 2021","192.60","219.80","220.80","192.60","148.83K","-12.33%"
"Dec 08, 2021","219.70","223.60","228.20","212.60","59.41K","-1.66%"
"Dec 07, 2021","223.40","222.90","230.60","219.50","33.23K","0.00%"
"Dec 06, 2021","223.40","211.60","226.60","193.20","59.62K","5.68%"
"Dec 05, 2021","211.40","221.00","225.60","205.30","41.72K","-4.52%"
"Dec 04, 2021","221.40","254.10","254.80","185.20","96.13K","-13.01%"
"Dec 03, 2021","254.50","270.30","275.40","247.20","29.94K","-5.85%"
"Dec 02, 2021","270.30","272.10","274.40","264.30","20.08K","-0.66%"
"Dec 01, 2021","272.10","278.40","286.50","267.90","28.49K","-2.26%"
"Nov 30, 2021","278.40","289.40","296.80","277.30","34.40K","-3.77%"
"Nov 29, 2021","289.30","287.40","291.10","280.60","31.88K","0.73%"
"Nov 28, 2021","287.20","270.00","287.80","260.30","58.05K","6.37%"
"Nov 27, 2021","270.00","261.80","275.80","260.90","34.29K","3.69%"
"Nov 26, 2021","260.40","288.40","289.30","243.50","82.29K","-9.55%"
"Nov 25, 2021","287.90","277.10","290.90","274.50","46.53K","3.82%"
"Nov 24, 2021","277.30","291.80","292.80","271.20","55.23K","-4.97%"
"Nov 23, 2021","291.80","287.90","293.00","275.70","58.10K","1.35%"
"Nov 22, 2021","287.90","304.90","304.90","282.00","83.34K","-5.39%"
"Nov 21, 2021","304.30","314.70","315.30","303.50","31.67K","-3.27%"
"Nov 20, 2021","314.60","308.30","317.40","299.80","28.82K","2.01%"
"Nov 19, 2021","308.40","293.60","310.10","289.10","45.18K","4.86%"
"Nov 18, 2021","294.10","321.70","324.60","286.10","64.52K","-8.58%"
"Nov 17, 2021","321.70","312.60","324.80","305.60","53.30K","2.88%"
"Nov 16, 2021","312.70","332.30","332.30","297.20","73.23K","-6.04%"
"Nov 15, 2021","332.80","346.30","354.30","330.20","47.92K","-3.82%"
"Nov 14, 2021","346.00","354.60","359.90","337.10","47.18K","-2.32%"
"Nov 13, 2021","354.20","326.40","354.60","326.40","52.90K","8.55%"
"Nov 12, 2021","326.30","334.40","337.40","314.00","60.68K","-2.63%"
"Nov 11, 2021","335.10","326.30","344.00","320.40","57.22K","2.51%"
"Nov 10, 2021","326.90","356.20","363.90","309.00","99.67K","-8.20%"
"Nov 09, 2021","356.10","359.90","370.80","355.50","60.27K","-1.06%"
"Nov 08, 2021","359.90","362.90","362.90","351.70","57.00K","-0.69%"
"Nov 07, 2021","362.40","354.80","368.30","350.70","37.90K","2.11%"
"Nov 06, 2021","354.90","356.70","357.00","335.10","50.74K","-0.62%"
"Nov 05, 2021","357.10","366.10","377.70","353.20","66.13K","-2.54%"
"Nov 04, 2021","366.40","384.20","391.60","357.10","82.44K","-4.48%"
"Nov 03, 2021","383.60","361.80","400.00","350.30","220.09K","6.38%"
"Nov 02, 2021","360.60","364.50","376.20","355.50","88.97K","-1.04%"
"Nov 01, 2021","364.40","346.40","369.20","325.50","169.94K","5.35%"
"Oct 31, 2021","345.90","319.00","358.00","318.10","175.05K","8.57%"
"Oct 30, 2021","318.60","328.70","329.00","312.00","49.92K","-2.78%"
"Oct 29, 2021","327.70","312.10","332.10","311.50","80.52K","4.86%"
"Oct 28, 2021","312.50","302.60","319.10","301.10","75.29K","3.37%"
"Oct 27, 2021","302.30","342.70","352.50","294.10","171.11K","-11.61%"
"Oct 26, 2021","342.00","322.40","359.30","321.30","193.47K","6.05%"
"Oct 25, 2021","322.50","308.60","322.80","306.30","54.25K","4.57%"
"Oct 24, 2021","308.40","311.80","316.90","301.20","64.39K","-1.06%"
"Oct 23, 2021","311.70","315.80","317.90","306.90","69.12K","-1.20%"
"Oct 22, 2021","315.50","316.00","328.20","312.30","48.53K","0.03%"
"Oct 21, 2021","315.40","323.30","335.10","311.10","83.07K","-2.38%"
"Oct 20, 2021","323.10","306.30","329.20","304.00","69.87K","5.35%"
"Oct 19, 2021","306.70","305.30","309.90","301.00","44.43K","0.46%"
"Oct 18, 2021","305.30","311.00","313.60","299.00","53.76K","-1.71%"
"Oct 17, 2021","310.60","316.90","323.10","300.40","48.43K","-1.77%"
"Oct 16, 2021","316.20","316.60","330.40","313.40","59.12K","-0.22%"
"Oct 15, 2021","316.90","314.50","324.80","300.30","72.13K","0.51%"
"Oct 14, 2021","315.30","304.00","322.00","304.00","52.46K","3.68%"
"Oct 13, 2021","304.10","306.60","309.30","295.20","50.96K","-0.75%"
"Oct 12, 2021","306.40","302.10","309.60","287.50","55.11K","1.22%"
"Oct 11, 2021","302.70","303.20","318.60","295.30","46.62K","-0.26%"
"Oct 10, 2021","303.50","330.80","331.40","302.30","49.04K","-8.17%"
"Oct 09, 2021","330.50","313.70","334.60","310.20","69.88K","5.59%"
"Oct 08, 2021","313.00","316.80","335.30","310.50","103.67K","-1.14%"
"Oct 07, 2021","316.60","306.10","325.30","296.80","106.41K","3.46%"
"Oct 06, 2021","306.00","309.80","314.00","287.60","105.66K","-1.23%"
"Oct 05, 2021","309.80","313.10","322.20","302.80","123.90K","-0.99%"
"Oct 04, 2021","312.90","326.40","326.60","309.20","93.57K","-4.14%"
"Oct 03, 2021","326.40","337.60","345.90","321.40","95.50K","-3.26%"
"Oct 02, 2021","337.40","326.50","350.20","318.00","91.21K","3.37%"
"Oct 01, 2021","326.40","317.90","329.60","309.10","90.42K","2.10%"
"Sep 30, 2021","319.70","307.20","319.70","287.00","193.41K","4.27%"
"Sep 29, 2021","306.60","319.40","337.80","280.90","86.18K","-4.16%"
"Sep 28, 2021","319.90","338.00","342.70","318.90","28.83K","-5.30%"
"Sep 27, 2021","337.80","354.50","375.10","337.80","43.60K","-4.55%"
"Sep 26, 2021","353.90","331.20","357.80","309.90","58.47K","6.85%"
"Sep 25, 2021","331.20","340.70","346.60","327.50","32.14K","-3.02%"
"Sep 24, 2021","341.50","373.60","375.70","317.20","68.22K","-8.69%"
"Sep 23, 2021","374.00","347.40","375.00","337.30","44.52K","7.66%"
"Sep 22, 2021","347.40","312.60","348.30","306.20","60.81K","11.45%"
"Sep 21, 2021","311.70","338.10","350.00","303.10","69.32K","-7.78%"
"Sep 20, 2021","338.00","393.40","393.70","332.10","57.84K","-13.97%"
"Sep 19, 2021","392.90","401.40","402.50","384.10","16.39K","-2.09%"
"Sep 18, 2021","401.30","400.20","416.00","392.50","27.87K","0.30%"
"Sep 17, 2021","400.10","422.30","428.30","393.00","54.84K","-5.26%"
"Sep 16, 2021","422.30","443.30","459.20","412.60","56.67K","-4.54%"
"Sep 15, 2021","442.40","447.00","450.40","418.90","62.47K","-0.98%"
"Sep 14, 2021","446.80","385.20","446.90","378.00","78.18K","16.02%"
"Sep 13, 2021","385.10","403.40","407.30","360.90","37.41K","-4.44%"
"Sep 12, 2021","403.00","397.30","413.60","387.60","26.38K","1.49%"
"Sep 11, 2021","397.10","392.20","408.40","388.90","23.53K","1.59%"
"Sep 10, 2021","390.90","411.40","426.60","383.80","30.66K","-4.94%"
"Sep 09, 2021","411.20","409.50","428.20","398.20","37.13K","0.61%"
"Sep 08, 2021","408.70","415.80","423.50","380.40","70.88K","-0.99%"
"Sep 07, 2021","412.80","509.70","510.30","357.10","178.30K","-18.96%"
"Sep 06, 2021","509.40","510.90","528.40","476.20","92.23K","-0.35%"
"Sep 05, 2021","511.20","472.50","525.00","468.00","121.29K","8.54%"
"Sep 04, 2021","471.00","466.60","482.60","462.10","43.98K","0.94%"
"Sep 03, 2021","466.60","462.20","480.40","455.90","58.45K","0.89%"
"Sep 02, 2021","462.50","477.90","482.70","457.90","65.99K","-3.40%"
"Sep 01, 2021","478.80","442.00","484.70","434.30","86.93K","8.35%"
"Aug 31, 2021","441.90","419.80","447.40","411.60","94.34K","5.34%"
"Aug 30, 2021","419.50","418.50","453.20","405.50","93.44K","0.29%"
"Aug 29, 2021","418.30","414.00","427.20","399.80","39.73K","1.16%"
"Aug 28, 2021","413.50","421.20","426.20","410.20","28.51K","-1.78%"
"Aug 27, 2021","421.00","405.00","425.40","390.40","47.71K","3.95%"
"Aug 26, 2021","405.00","435.64","438.92","401.00","37.19K","-7.00%"
"Aug 25, 2021","435.49","423.13","437.95","412.01","43.04K","2.91%"
"Aug 24, 2021","423.16","465.41","469.94","414.45","85.97K","-9.07%"
"Aug 23, 2021","465.38","459.89","484.01","456.10","115.32K","1.17%"
"Aug 22, 2021","460.00","462.36","482.70","446.45","60.66K","-0.58%"
"Aug 21, 2021","462.69","480.11","483.79","456.08","69.31K","-3.59%"
"Aug 20, 2021","479.94","459.18","492.70","452.09","74.41K","4.78%"
"Aug 19, 2021","458.04","436.46","458.13","419.60","56.05K","5.12%"
"Aug 18, 2021","435.71","446.59","459.59","421.39","86.11K","-2.59%"
"Aug 17, 2021","447.31","468.64","516.72","442.62","110.27K","-4.69%"
"Aug 16, 2021","469.34","488.86","529.29","468.13","125.23K","-3.98%"
"Aug 15, 2021","488.79","476.97","491.41","449.04","72.66K","2.44%"
"Aug 14, 2021","477.16","483.69","485.67","456.44","56.75K","-1.38%"
"Aug 13, 2021","483.82","453.87","484.41","450.11","41.36K","6.75%"
"Aug 12, 2021","453.24","467.78","481.68","440.23","66.00K","-3.16%"
"Aug 11, 2021","468.01","472.77","497.87","465.06","68.31K","-0.97%"
"Aug 10, 2021","472.58","466.94","484.76","459.59","41.72K","1.15%"
"Aug 09, 2021","467.22","467.39","487.31","445.00","43.88K","0.07%"
"Aug 08, 2021","466.90","507.29","512.56","456.68","40.21K","-8.03%"
"Aug 07, 2021","507.64","466.65","507.64","461.00","84.38K","8.86%"
"Aug 06, 2021","466.33","475.65","484.50","450.44","57.08K","-1.92%"
"Aug 05, 2021","475.44","464.81","495.00","436.80","132.51K","2.35%"
"Aug 04, 2021","464.52","396.63","472.38","391.20","103.32K","17.11%"
"Aug 03, 2021","396.65","407.87","408.45","385.52","44.40K","-2.61%"
"Aug 02, 2021","407.26","409.52","425.61","393.68","66.29K","-0.56%"
"Aug 01, 2021","409.55","406.01","424.96","392.71","56.20K","1.09%"
"Jul 31, 2021","405.14","404.28","409.68","393.29","37.39K","0.31%"
"Jul 30, 2021","403.89","397.56","410.94","382.00","58.14K","1.75%"
"Jul 29, 2021","396.94","388.31","401.49","378.91","46.48K","2.37%"
"Jul 28, 2021","387.75","392.64","400.00","380.95","49.48K","-1.27%"
"Jul 27, 2021","392.75","391.54","407.62","376.25","85.63K","0.11%"
"Jul 26, 2021","392.33","391.35","438.13","385.29","131.49K","0.31%"
"Jul 25, 2021","391.11","383.49","391.30","370.27","79.76K","-3.48%"
"Jul 24, 2021","405.23","418.00","418.20","402.23","64.12K","-2.90%"
"Jul 23, 2021","417.35","416.52","426.62","386.63","79.10K","0.76%"
"Jul 22, 2021","414.20","376.85","415.00","368.83","108.53K","10.04%"
"Jul 21, 2021","376.41","349.44","398.48","339.28","99.12K","7.71%"
"Jul 20, 2021","349.48","339.17","360.25","310.33","87.92K","3.09%"
"Jul 19, 2021","339.00","378.80","379.32","335.18","86.14K","-10.57%"
"Jul 18, 2021","379.07","378.13","398.69","372.23","46.94K","0.17%"
"Jul 17, 2021","378.42","368.26","387.41","365.57","44.46K","3.01%"
"Jul 16, 2021","367.38","398.03","409.55","367.38","60.85K","-8.01%"
"Jul 15, 2021","399.37","409.96","431.35","393.25","142.49K","-2.77%"
"Jul 14, 2021","410.76","387.58","424.16","360.28","95.78K","6.19%"
"Jul 13, 2021","386.83","412.58","417.05","381.23","55.47K","-6.53%"
"Jul 12, 2021","413.86","436.30","443.64","402.21","62.73K","-4.88%"
"Jul 11, 2021","435.08","423.38","456.65","414.68","78.27K","2.87%"
"Jul 10, 2021","422.94","434.18","448.77","409.69","94.42K","-2.54%"
"Jul 09, 2021","433.97","391.00","440.81","386.93","120.48K","4.47%"
"Jul 08, 2021","415.39","438.00","445.19","409.58","139.45K","-5.93%"
"Jul 07, 2021","441.59","480.94","482.58","434.47","150.19K","-12.03%"
"Jul 06, 2021","502.00","492.60","526.28","492.60","358.15K","1.83%"
"Jul 05, 2021","493.00","443.57","495.90","421.52","320.48K","11.02%"
"Jul 04, 2021","444.05","406.79","462.80","406.79","178.07K","18.20%"
"Jul 03, 2021","375.69","369.99","382.18","365.81","137.07K","1.97%"
"Jul 02, 2021","368.43","331.92","368.43","310.86","137.31K","10.60%"
"Jul 01, 2021","333.12","338.28","347.36","324.08","153.03K","-1.33%"
"Jun 30, 2021","337.60","311.09","337.60","289.52","95.56K","9.32%"
"Jun 29, 2021","308.83","313.30","325.61","308.83","116.13K","-0.35%"
"Jun 28, 2021","309.93","257.80","309.93","250.33","213.39K","20.60%"
"Jun 27, 2021","256.98","225.35","256.98","225.35","57.46K","14.19%"
"Jun 26, 2021","225.04","222.72","226.84","214.23","50.33K","1.36%"
"Jun 25, 2021","222.01","256.94","258.48","222.01","46.94K","-13.38%"
"Jun 24, 2021","256.30","242.14","256.30","228.52","57.91K","5.94%"
"Jun 23, 2021","241.92","234.88","265.46","233.59","80.85K","3.30%"
"Jun 22, 2021","234.19","221.83","239.79","202.63","92.71K","5.43%"
"Jun 21, 2021","222.13","294.68","294.68","222.13","61.04K","-24.12%"
"Jun 20, 2021","292.75","272.53","293.24","264.78","38.03K","7.20%"
"Jun 19, 2021","273.10","278.10","284.18","272.00","16.87K","-1.61%"
"Jun 18, 2021","277.58","305.92","306.12","271.13","36.35K","-9.46%"
"Jun 17, 2021","306.59","304.77","320.49","300.32","22.64K","0.64%"
"Jun 16, 2021","304.63","324.50","324.50","304.63","31.15K","-6.47%"
"Jun 15, 2021","325.71","337.24","346.30","324.92","36.17K","-3.21%"
"Jun 14, 2021","336.50","324.61","337.63","321.00","39.37K","3.85%"
"Jun 13, 2021","324.02","295.83","326.54","288.73","31.57K","9.60%"
"Jun 12, 2021","295.63","293.34","304.13","281.15","40.81K","0.19%"
"Jun 11, 2021","295.06","327.86","327.86","295.06","29.76K","-9.75%"
"Jun 10, 2021","326.94","364.04","364.04","326.94","46.34K","-10.15%"
"Jun 09, 2021","363.89","350.02","372.16","334.82","54.22K","3.68%"
"Jun 08, 2021","350.99","343.18","350.99","318.81","50.38K","2.47%"
"Jun 07, 2021","342.54","388.28","410.62","342.54","37.83K","-11.89%"
"Jun 06, 2021","388.77","386.65","393.92","379.96","20.14K","0.41%"
"Jun 05, 2021","387.18","402.17","413.75","383.81","27.99K","-3.61%"
"Jun 04, 2021","401.68","448.84","448.84","393.54","44.73K","-10.60%"
"Jun 03, 2021","449.29","433.88","451.09","429.71","33.58K","3.30%"
"Jun 02, 2021","434.95","427.80","449.41","418.15","32.31K","1.87%"
"Jun 01, 2021","426.97","432.41","438.17","419.68","34.27K","-2.25%"
